id,Dimension,Value
62,Dim2,4.27
62,Dim3,2.66
63,Dim1,4.29
63,Dim2,4.32
63,Dim3,2.69
64,Dim1,4.3
64,Dim2,4.33
64,Dim3,2.68
65,Dim1,4.78
65,Dim2,4.84
66,Dim2,4.22
67,Dim2,4.42
67,Dim3,2.73
68,Dim1,4.33
68,Dim2,4.3
68,Dim3,2.73
69,Dim1,4.35
69,Dim2,4.32
69,Dim3,2.68
70,Dim2,4.03
70,Dim3,2.44
71,Dim1,3.97
71,Dim3,2.45
72,Dim1,4.29
72,Dim2,4.27
72,Dim3,2.7
73,Dim1,4.28
73,Dim2,4.24
73,Dim3,2.68
74,Dim1,4.29
74,Dim2,4.25
74,Dim3,2.67
75,Dim1,4.28
75,Dim3,2.72
76,Dim1,4.19
76,Dim2,4.22
76,Dim3,2.49
77,Dim1,4.15
77,Dim2,4.23
78,Dim1,4.08
78,Dim2,4.13
79,Dim1,4.01
79,Dim2,4.05
80,Dim1,4.06
80,Dim3,2.55
81,Dim1,4
81,Dim2,4.04
81,Dim3,2.55
82,Dim1,4.03
82,Dim2,4.12
82,Dim3,2.53
83,Dim3,2.54
84,Dim1,4.65
84,Dim2,4.67
84,Dim3,2.87
85,Dim2,4.25
86,Dim1,3.95
86,Dim2,3.92
86,Dim3,2.45
87,Dim1,4.01
87,Dim3,2.44
88,Dim1,4.02
88,Dim2,4
88,Dim3,2.44
89,Dim1,4.07
89,Dim2,4.04
90,Dim2,4.33
90,Dim3,2.73
92,Dim1,6.45
92,Dim2,6.33
92,Dim3,3.52
93,Dim1,5.7
93,Dim2,5.67
93,Dim3,3.5
94,Dim1,5.68
94,Dim3,3.56
95,Dim1,5.81
95,Dim2,5.85
95,Dim3,3.72
96,Dim1,5.85
96,Dim2,5.9
97,Dim1,5.71
97,Dim2,5.76
97,Dim3,3.4
98,Dim1,6.27
98,Dim2,5.95
98,Dim3,4.07
99,Dim1,5.77
99,Dim2,5.78
99,Dim3,3.56
100,Dim1,5.97
100,Dim2,5.93
100,Dim3,3.66
101,Dim2,5.75
101,Dim3,3.65
102,Dim1,6
102,Dim2,5.96
102,Dim3,3.58
103,Dim1,5.8
103,Dim3,3.59
104,Dim1,5.85
104,Dim2,5.79
104,Dim3,3.59
105,Dim2,5.87
105,Dim3,3.72
106,Dim3,3.63
108,Dim1,5.77
108,Dim3,3.61
110,Dim1,5.38
111,Dim3,3.67
112,Dim1,5.8
112,Dim2,5.84
112,Dim3,3.62
113,Dim1,6.16
113,Dim2,6.12
114,Dim2,5.82
114,Dim3,3.59
115,Dim1,5.77
115,Dim2,5.74
115,Dim3,3.6
116,Dim1,5.8
116,Dim2,5.75
116,Dim3,3.62
117,Dim1,5.98
117,Dim3,3.68
118,Dim3,3.58
119,Dim1,5.73
119,Dim2,5.76
119,Dim3,3.49
120,Dim1,6.01
120,Dim2,6.07
120,Dim3,3.62
121,Dim1,5.73
121,Dim3,3.56
122,Dim1,5.8
122,Dim2,5.83
122,Dim3,3.62
123,Dim1,5.64
123,Dim2,5.61
123,Dim3,3.47
124,Dim1,5.57
124,Dim2,5.53
124,Dim3,3.58
125,Dim2,5.58
125,Dim3,3.66
126,Dim1,5.65
127,Dim2,5.97
128,Dim1,5.56
128,Dim2,5.58
128,Dim3,3.32
129,Dim1,6.11
129,Dim2,6.09
129,Dim3,3.93
130,Dim1,6.03
130,Dim3,3.95
131,Dim1,5.89
131,Dim3,3.64
132,Dim1,5.64
132,Dim2,5.68
132,Dim3,3.6
133,Dim1,5.69
133,Dim2,5.72
133,Dim3,3.53
134,Dim1,5.62
134,Dim3,3.53
135,Dim1,5.88
135,Dim2,5.9
136,Dim1,5.52
136,Dim2,5.55
136,Dim3,3.37
137,Dim1,5.74
137,Dim2,5.77
137,Dim3,3.46
138,Dim2,5.73
138,Dim3,3.53
139,Dim1,5.88
139,Dim2,5.91
139,Dim3,3.61
140,Dim2,5.56
140,Dim3,3.43
141,Dim1,5.78
141,Dim2,5.75
142,Dim2,5.81
143,Dim2,5.72
144,Dim1,5.8
145,Dim1,5.74
145,Dim2,5.76
145,Dim3,3.54
146,Dim1,5.62
146,Dim2,5.65
146,Dim3,3.5
147,Dim1,5.52
147,Dim2,5.61
147,Dim3,3.52
148,Dim2,5.87
148,Dim3,3.52
149,Dim3,3.48
150,Dim1,5.73
150,Dim2,5.76
150,Dim3,3.5
151,Dim1,5.71
151,Dim2,5.67
151,Dim3,3.51
152,Dim1,5.82
152,Dim2,5.86
153,Dim1,5.65
153,Dim2,5.61
154,Dim1,5.83
154,Dim2,5.76
154,Dim3,3.56
155,Dim1,5.79
155,Dim2,5.81
155,Dim3,3.65
156,Dim1,5.78
156,Dim2,5.83
156,Dim3,3.62
157,Dim1,5.77
157,Dim3,3.51
158,Dim2,5.82
158,Dim3,3.55
159,Dim2,5.75
160,Dim1,5.92
160,Dim2,5.89
160,Dim3,3.54
161,Dim1,5.92
161,Dim2,5.87
162,Dim1,5.81
162,Dim2,5.83
162,Dim3,3.51
163,Dim1,5.79
163,Dim3,3.58
164,Dim1,5.73
164,Dim3,3.56
165,Dim1,5.97
165,Dim3,3.68
166,Dim1,5.83
166,Dim2,5.89
167,Dim1,6.01
167,Dim2,6.03
167,Dim3,3.67
168,Dim1,5.39
168,Dim2,5.44
168,Dim3,3.33
169,Dim2,5.37
170,Dim1,5.8
170,Dim2,5.88
170,Dim3,3.46
171,Dim3,3.6
172,Dim1,5.87
172,Dim2,5.78
172,Dim3,3.38
173,Dim2,6.9
173,Dim3,4.13
174,Dim1,5.41
174,Dim2,5.44
174,Dim3,3.35
175,Dim1,5.68
175,Dim2,5.74
175,Dim3,3.58
176,Dim1,5.85
176,Dim2,5.88
176,Dim3,3.79
177,Dim1,5.8
177,Dim2,5.84
177,Dim3,3.57
178,Dim1,5.62
178,Dim2,5.69
178,Dim3,3.61
179,Dim2,5.68
179,Dim3,3.58
180,Dim1,5.79
180,Dim2,5.62
180,Dim3,3.55
181,Dim1,5.25
181,Dim2,5.27
181,Dim3,3.24
182,Dim1,5.24
182,Dim2,5.26
182,Dim3,3.23
183,Dim1,5.72
183,Dim2,5.75
183,Dim3,3.55
184,Dim1,5.79
184,Dim2,5.82
185,Dim1,5.8
185,Dim2,5.84
187,Dim1,5.66
187,Dim3,3.57
188,Dim1,5.67
188,Dim3,3.53
189,Dim2,5.69
190,Dim1,5.61
190,Dim2,5.64
190,Dim3,3.59
191,Dim1,5.87
191,Dim2,5.9
191,Dim3,3.4
192,Dim1,5.7
192,Dim2,5.67
192,Dim3,3.53
193,Dim1,5.71
193,Dim2,5.64
193,Dim3,3.47
194,Dim1,5.79
194,Dim2,5.75
194,Dim3,3.46
195,Dim1,5.73
195,Dim2,5.68
195,Dim3,3.49
196,Dim1,5.67
196,Dim2,5.63
196,Dim3,3.54
197,Dim1,5.73
197,Dim2,5.68
197,Dim3,3.48
198,Dim1,5.78
198,Dim2,5.72
198,Dim3,3.51
199,Dim1,5.76
199,Dim2,5.7
199,Dim3,3.52
200,Dim3,3.56
201,Dim1,5.76
201,Dim2,5.7
201,Dim3,3.43
202,Dim1,5.71
202,Dim2,5.68
203,Dim2,5.74
203,Dim3,3.48
204,Dim2,5.59
204,Dim3,3.6
205,Dim1,6.05
205,Dim3,4.08
206,Dim1,5.83
206,Dim2,5.8
206,Dim3,3.63
207,Dim1,5.6
207,Dim2,5.51
207,Dim3,3.51
208,Dim1,5.19
208,Dim3,3.19
209,Dim1,5.82
209,Dim2,5.84
209,Dim3,3.55
210,Dim1,5.84
210,Dim2,5.8
211,Dim1,5.61
211,Dim2,5.65
211,Dim3,3.58
212,Dim1,5.9
212,Dim2,5.93
212,Dim3,3.62
213,Dim2,5.72
213,Dim3,3.54
214,Dim1,5.81
214,Dim2,5.86
215,Dim1,5.64
215,Dim2,5.73
215,Dim3,3.49
216,Dim1,6.39
216,Dim3,3.94
217,Dim3,3.64
218,Dim1,5.92
219,Dim2,5.76
219,Dim3,3.51
220,Dim1,5.34
220,Dim2,5.37
220,Dim3,3.08
221,Dim1,5.9
221,Dim2,5.94
221,Dim3,3.63
222,Dim2,5.77
222,Dim3,3.31
223,Dim1,5.62
223,Dim3,3.51
224,Dim1,5.78
224,Dim2,5.73
224,Dim3,3.63
225,Dim1,5.76
225,Dim2,5.75
226,Dim1,5.73
226,Dim3,3.58
227,Dim1,5.68
227,Dim2,5.66
227,Dim3,3.56
228,Dim1,6.39
228,Dim3,3.47
229,Dim2,5.85
229,Dim3,3.6
230,Dim2,5.18
230,Dim3,3.21
231,Dim1,5.69
231,Dim2,5.73
231,Dim3,3.6
232,Dim3,3.75
233,Dim1,5.66
233,Dim3,3.61
234,Dim1,5.11
234,Dim2,5.15
235,Dim1,5.54
235,Dim2,5.55
235,Dim3,3.41
236,Dim1,5.74
236,Dim2,5.77
236,Dim3,3.48
237,Dim2,6.1
237,Dim3,3.72
238,Dim1,5.85
238,Dim2,5.87
238,Dim3,3.62
239,Dim1,5.64
239,Dim2,5.68
239,Dim3,3.58
240,Dim1,5.97
240,Dim3,3.53
241,Dim1,5.71
241,Dim3,3.55
242,Dim1,6.29
242,Dim2,6.21
242,Dim3,4.03
243,Dim2,6.22
243,Dim3,3.93
244,Dim1,5.81
244,Dim2,5.77
244,Dim3,3.72
245,Dim1,5.76
245,Dim3,3.7
246,Dim2,5.94
247,Dim1,5.82
247,Dim2,5.86
247,Dim3,3.61
248,Dim2,6.45
248,Dim3,4.09
249,Dim1,5.97
249,Dim2,6.01
249,Dim3,3.69
250,Dim1,5.72
250,Dim2,5.75
250,Dim3,3.53
251,Dim1,5.28
251,Dim3,3.22
252,Dim1,5.94
252,Dim2,5.99
252,Dim3,3.64
253,Dim1,5.48
253,Dim2,5.41
253,Dim3,3.38
254,Dim2,5.52
254,Dim3,3.37
255,Dim1,5.9
255,Dim2,5.88
255,Dim3,3.61
256,Dim1,6.41
256,Dim2,6.27
256,Dim3,4.18
257,Dim2,5.58
258,Dim1,6
258,Dim2,5.94
259,Dim1,6.02
259,Dim2,6.05
259,Dim3,3.76
260,Dim1,5.77
260,Dim2,5.74
261,Dim2,5.69
262,Dim2,6.1
263,Dim1,5.74
263,Dim3,3.58
264,Dim1,5.83
264,Dim3,3.46
265,Dim1,5.7
265,Dim3,3.54
266,Dim1,5.72
266,Dim2,5.77
267,Dim1,5.71
267,Dim2,5.65
267,Dim3,3.53
268,Dim1,5.78
268,Dim3,3.5
269,Dim1,5.91
269,Dim2,5.86
269,Dim3,3.51
270,Dim1,5.73
270,Dim2,5.68
270,Dim3,3.55
271,Dim1,5.98
271,Dim2,6.06
271,Dim3,3.65
272,Dim1,5.66
272,Dim2,5.69
273,Dim1,5.6
273,Dim2,5.66
273,Dim3,3.61
274,Dim1,5.87
274,Dim2,5.91
274,Dim3,3.61
275,Dim1,5.72
275,Dim2,5.76
275,Dim3,3.6
276,Dim2,5.86
277,Dim1,5.81
277,Dim3,3.53
278,Dim1,5.91
278,Dim2,5.86
279,Dim2,5.96
279,Dim3,3.72
280,Dim1,5.74
280,Dim2,5.72
281,Dim1,5.73
281,Dim2,5.69
282,Dim3,3.6
283,Dim2,6.13
283,Dim3,3.57
284,Dim1,5.73
284,Dim2,5.65
284,Dim3,3.58
285,Dim1,6.61
285,Dim3,3.83
286,Dim2,5.76
286,Dim3,3.62
287,Dim1,5.94
287,Dim2,6.01
287,Dim3,3.66
288,Dim1,6.07
288,Dim2,6.1
288,Dim3,3.67
289,Dim1,5.67
289,Dim2,5.71
289,Dim3,3.57
290,Dim1,5.73
290,Dim3,3.52
291,Dim1,5.74
291,Dim3,3.52
292,Dim1,5.34
293,Dim1,5.12
293,Dim2,5.16
293,Dim3,3.17
294,Dim2,5.75
294,Dim3,3.55
295,Dim1,5.77
295,Dim2,5.81
295,Dim3,3.58
296,Dim1,5.81
296,Dim2,5.82
296,Dim3,3.58
297,Dim2,5.9
297,Dim3,3.44
298,Dim3,3.67
299,Dim1,6.19
299,Dim2,6.05
299,Dim3,4.13
300,Dim1,5.92
300,Dim2,5.82
300,Dim3,3.72
301,Dim1,5.87
301,Dim2,5.91
301,Dim3,3.62
302,Dim1,6.19
302,Dim2,6.25
302,Dim3,3.61
303,Dim2,6.02
304,Dim1,5.91
304,Dim2,5.86
305,Dim1,5.43
305,Dim3,3.35
306,Dim1,6.07
306,Dim2,6.11
307,Dim1,5.6
307,Dim2,5.66
307,Dim3,3.5
308,Dim1,6.17
308,Dim2,6.23
309,Dim1,5.99
309,Dim2,6.08
309,Dim3,3.76
310,Dim1,6.03
310,Dim2,6.07
310,Dim3,3.74
311,Dim1,5.95
311,Dim2,6.02
311,Dim3,3.74
312,Dim1,5.74
312,Dim2,5.68
313,Dim1,5.92
314,Dim3,3.39
315,Dim2,5.8
316,Dim1,6.37
316,Dim2,6.41
317,Dim1,5.8
317,Dim2,5.76
317,Dim3,3.61
318,Dim2,5.7
319,Dim1,5.93
319,Dim2,5.96
320,Dim1,5.7
320,Dim3,3.53
321,Dim1,5.9
322,Dim1,5.64
322,Dim2,5.61
322,Dim3,3.59
323,Dim1,5.69
323,Dim2,5.64
324,Dim1,6.46
324,Dim3,4
325,Dim1,6.45
325,Dim2,6.34
326,Dim1,6.19
326,Dim3,3.72
327,Dim1,5.22
327,Dim2,5.25
327,Dim3,3.24
328,Dim1,5.79
328,Dim2,5.61
329,Dim1,5.83
330,Dim1,5.63
330,Dim2,5.65
331,Dim1,5.74
331,Dim2,5.79
331,Dim3,3.66
332,Dim3,3.51
333,Dim1,5.84
333,Dim2,5.89
333,Dim3,3.55
334,Dim1,5.56
335,Dim1,5.7
335,Dim3,3.56
336,Dim2,5.81
336,Dim3,3.38
337,Dim2,5.65
337,Dim3,3.54
338,Dim1,5.93
338,Dim3,3.62
339,Dim1,5.81
339,Dim2,5.77
340,Dim1,6.03
341,Dim1,5.66
341,Dim2,5.64
341,Dim3,3.59
342,Dim1,6.21
342,Dim2,6.15
342,Dim3,3.85
343,Dim1,5.62
343,Dim2,5.66
343,Dim3,3.6
344,Dim2,5.68
344,Dim3,3.63
345,Dim2,5.96
346,Dim1,5.69
346,Dim3,3.56
347,Dim1,5.74
347,Dim2,5.77
347,Dim3,3.55
348,Dim1,5.75
348,Dim2,5.7
348,Dim3,3.56
349,Dim1,6.01
349,Dim2,6.08
349,Dim3,3.72
350,Dim1,5.68
350,Dim2,5.7
350,Dim3,3.47
351,Dim1,5.74
351,Dim2,5.77
351,Dim3,3.58
352,Dim1,5.77
352,Dim2,5.8
352,Dim3,3.56
353,Dim1,5.93
353,Dim2,5.84
354,Dim1,5.85
354,Dim2,5.78
356,Dim1,5.77
356,Dim2,5.81
357,Dim2,5.43
357,Dim3,3.16
358,Dim1,5.75
358,Dim2,5.7
358,Dim3,3.58
359,Dim1,5.74
359,Dim2,5.7
359,Dim3,3.59
360,Dim1,5.82
360,Dim3,3.53
361,Dim1,5.92
361,Dim2,5.89
361,Dim3,3.78
362,Dim1,5.89
362,Dim2,5.94
362,Dim3,3.69
363,Dim1,5.85
363,Dim3,3.56
365,Dim1,5.66
365,Dim2,5.72
365,Dim3,3.54
366,Dim3,3.52
367,Dim1,6.21
367,Dim3,3.84
368,Dim1,5.87
368,Dim3,3.7
369,Dim1,5.64
369,Dim2,5.71
369,Dim3,3.52
370,Dim1,6.16
370,Dim2,6.09
370,Dim3,4.07
371,Dim1,5.78
371,Dim3,3.65
372,Dim1,5.41
372,Dim2,5.43
372,Dim3,3.3
373,Dim1,5.74
373,Dim2,5.7
373,Dim3,3.61
374,Dim1,5.85
374,Dim2,5.79
374,Dim3,3.67
375,Dim1,6.15
375,Dim3,3.61
376,Dim1,5.84
376,Dim2,5.8
376,Dim3,3.53
377,Dim2,6.66
378,Dim1,5.63
378,Dim2,5.7
378,Dim3,3.5
379,Dim1,5.77
379,Dim3,3.48
380,Dim1,5.81
380,Dim2,5.85
381,Dim3,3.51
382,Dim2,5.93
383,Dim2,5.76
383,Dim3,3.64
384,Dim2,5.95
385,Dim1,6.14
385,Dim2,6.07
385,Dim3,4.01
386,Dim1,6.21
386,Dim2,6.06
386,Dim3,4.18
387,Dim1,5.57
387,Dim2,5.64
387,Dim3,3.53
388,Dim1,5.75
388,Dim2,5.85
388,Dim3,3.45
389,Dim1,5.49
389,Dim2,5.53
389,Dim3,3.5
390,Dim1,5.63
390,Dim2,5.69
390,Dim3,3.49
391,Dim1,4.37
391,Dim2,4.34
391,Dim3,2.73
392,Dim1,4.39
392,Dim2,4.34
393,Dim2,4.35
393,Dim3,2.72
394,Dim1,4.39
394,Dim2,4.36
394,Dim3,2.67
395,Dim1,4.39
395,Dim3,2.76
396,Dim1,4.47
396,Dim2,4.42
397,Dim1,4.31
397,Dim2,4.29
397,Dim3,2.62
398,Dim1,4.41
398,Dim3,2.64
399,Dim2,4.24
399,Dim3,2.68
400,Dim2,4.27
401,Dim2,4.2
401,Dim3,2.7
402,Dim3,2.67
403,Dim1,4.25
403,Dim2,4.23
403,Dim3,2.69
404,Dim1,4.36
404,Dim3,2.78
405,Dim1,4.85
406,Dim1,4.28
406,Dim2,4.33
408,Dim1,4.32
408,Dim3,2.68
409,Dim1,4.47
409,Dim2,4.5
409,Dim3,2.76
410,Dim1,4.54
410,Dim2,4.57
410,Dim3,2.75
411,Dim1,4.48
411,Dim2,4.52
412,Dim1,4.5
412,Dim2,4.53
412,Dim3,2.8
413,Dim1,4.29
413,Dim2,4.31
413,Dim3,2.68
414,Dim2,4.31
414,Dim3,2.64
415,Dim1,4.56
415,Dim2,4.58
415,Dim3,2.77
416,Dim2,5
416,Dim3,2.9
417,Dim1,4.37
418,Dim1,4.54
418,Dim2,4.57
418,Dim3,2.82
419,Dim1,4.28
419,Dim2,4.3
419,Dim3,2.66
420,Dim2,4.12
420,Dim3,2.52
421,Dim2,5.72
421,Dim3,3.54
422,Dim1,5.66
422,Dim2,5.71
422,Dim3,3.46
423,Dim1,5.69
423,Dim2,5.72
424,Dim1,6.72
425,Dim1,5.92
425,Dim2,5.89
425,Dim3,3.46
426,Dim1,5.15
426,Dim2,5.11
426,Dim3,3.18
427,Dim1,6.3
427,Dim2,6.29
427,Dim3,3.77
428,Dim1,6
428,Dim2,5.95
428,Dim3,3.79
429,Dim3,3.9
430,Dim2,5.81
430,Dim3,3.63
432,Dim1,5.86
432,Dim2,5.83
432,Dim3,3.57
433,Dim3,3.23
434,Dim1,5.93
434,Dim2,6.01
434,Dim3,3.49
435,Dim2,5.81
435,Dim3,3.58
436,Dim1,5.75
436,Dim2,5.81
436,Dim3,3.49
437,Dim1,5.7
437,Dim3,3.52
438,Dim2,5.79
439,Dim1,5.72
439,Dim3,3.53
440,Dim1,6.08
440,Dim3,3.94
441,Dim3,3.68
442,Dim1,6.26
442,Dim3,3.76
443,Dim3,3.47
444,Dim1,6.73
444,Dim2,6.65
444,Dim3,3.55
445,Dim1,6.55
445,Dim3,3.94
446,Dim1,5.91
447,Dim1,5.52
447,Dim2,5.54
447,Dim3,3.32
448,Dim2,5.69
448,Dim3,3.58
449,Dim3,3.64
450,Dim1,6.16
450,Dim3,3.85
451,Dim1,6.04
451,Dim2,6
451,Dim3,3.76
452,Dim1,5.78
453,Dim2,5.89
453,Dim3,3.53
454,Dim1,5.66
454,Dim2,5.64
454,Dim3,3.54
455,Dim1,5.69
455,Dim3,3.53
456,Dim1,5.48
456,Dim2,5.52
456,Dim3,3.38
457,Dim2,5.83
457,Dim3,3.46
458,Dim2,5.7
459,Dim1,5.77
459,Dim2,5.72
459,Dim3,3.52
460,Dim2,5.73
460,Dim3,3.53
461,Dim1,6.2
461,Dim3,3.88
462,Dim1,5.6
462,Dim2,5.54
463,Dim3,3.52
464,Dim2,5.73
464,Dim3,3.41
465,Dim1,5.64
465,Dim2,5.6
465,Dim3,3.54
466,Dim1,6.43
466,Dim2,6.39
466,Dim3,3.93
467,Dim2,6.22
468,Dim2,6
468,Dim3,3.68
469,Dim1,5.66
469,Dim2,5.61
469,Dim3,3.54
470,Dim1,5.91
470,Dim2,5.83
470,Dim3,3.5
471,Dim1,5.69
471,Dim2,5.64
472,Dim1,5.68
472,Dim3,3.55
473,Dim3,4.08
474,Dim1,5.64
474,Dim2,5.68
474,Dim3,3.61
475,Dim1,5.73
475,Dim3,3.58
476,Dim1,5.76
476,Dim2,5.79
476,Dim3,3.45
477,Dim1,5.97
477,Dim2,5.95
477,Dim3,3.83
478,Dim1,5.66
478,Dim2,5.69
478,Dim3,3.57
479,Dim1,5.8
479,Dim2,5.78
479,Dim3,3.59
480,Dim2,5.73
480,Dim3,3.54
481,Dim2,5.21
481,Dim3,3.22
482,Dim1,5.83
482,Dim2,5.76
482,Dim3,3.55
483,Dim1,5.72
483,Dim3,3.63
484,Dim2,5.85
484,Dim3,3.51
485,Dim1,5.77
485,Dim2,5.68
485,Dim3,3.56
486,Dim1,5.84
486,Dim2,5.82
487,Dim1,5.76
487,Dim2,5.7
487,Dim3,3.62
488,Dim1,5.74
488,Dim2,5.71
488,Dim3,3.48
489,Dim1,5.84
489,Dim2,5.8
489,Dim3,3.51
490,Dim1,5.8
490,Dim2,5.76
490,Dim3,3.52
491,Dim1,5.77
491,Dim2,5.7
491,Dim3,3.58
492,Dim2,5.7
492,Dim3,3.44
493,Dim1,5.37
493,Dim2,5.4
493,Dim3,3.34
494,Dim1,5.85
494,Dim2,5.89
494,Dim3,3.57
495,Dim1,5.75
496,Dim1,5.71
497,Dim1,5.75
497,Dim3,3.52
498,Dim1,5.82
498,Dim2,5.75
498,Dim3,3.48
499,Dim2,5.72
499,Dim3,3.48
500,Dim1,6.04
500,Dim3,3.86
501,Dim1,5.86
501,Dim2,5.83
501,Dim3,3.52
502,Dim1,5.73
502,Dim2,5.68
503,Dim1,5.71
503,Dim2,5.66
503,Dim3,3.56
504,Dim2,5.77
505,Dim2,5.66
505,Dim3,3.49
506,Dim1,5.62
506,Dim2,5.59
507,Dim1,5.73
507,Dim2,5.63
507,Dim3,3.51
508,Dim1,5.72
508,Dim2,5.68
509,Dim1,5.8
509,Dim2,5.72
509,Dim3,3.49
510,Dim1,5.75
510,Dim2,5.71
510,Dim3,3.52
511,Dim1,5.86
511,Dim2,5.9
511,Dim3,3.69
512,Dim1,6.06
512,Dim2,6.13
512,Dim3,3.89
513,Dim1,5.71
513,Dim3,3.54
514,Dim1,5.51
514,Dim2,5.59
515,Dim1,6.05
515,Dim2,5.98
515,Dim3,3.96
516,Dim2,5.73
516,Dim3,3.47
517,Dim1,5.74
517,Dim2,5.69
517,Dim3,3.5
518,Dim2,5.86
518,Dim3,3.63
519,Dim1,5.73
519,Dim2,5.75
519,Dim3,3.62
520,Dim1,6.02
520,Dim2,5.97
520,Dim3,3.74
521,Dim1,6.05
521,Dim2,6.03
523,Dim1,6.08
523,Dim2,6.05
523,Dim3,3.64
524,Dim3,3.58
525,Dim1,6.02
525,Dim3,3.74
526,Dim1,6.9
526,Dim2,6.83
526,Dim3,4.13
527,Dim2,6.19
527,Dim3,3.81
528,Dim2,5.68
528,Dim3,3.58
529,Dim2,5.88
529,Dim3,3.38
530,Dim2,6.07
530,Dim3,3.79
531,Dim1,5.66
531,Dim2,5.6
531,Dim3,3.5
532,Dim1,5.6
532,Dim2,5.58
533,Dim1,5.78
533,Dim2,5.74
533,Dim3,3.42
534,Dim2,6.07
534,Dim3,3.88
535,Dim1,5.97
535,Dim2,5.94
536,Dim1,6.41
536,Dim2,6.37
536,Dim3,3.88
537,Dim1,5.67
537,Dim2,5.7
537,Dim3,3.54
538,Dim2,5.7
538,Dim3,3.64
539,Dim1,5.96
539,Dim2,5.9
539,Dim3,3.71
540,Dim1,5.69
540,Dim2,5.74
540,Dim3,3.52
541,Dim1,5.66
541,Dim2,5.7
542,Dim2,5.77
542,Dim3,3.49
543,Dim2,6.31
543,Dim3,3.91
544,Dim1,5.75
544,Dim3,3.56
545,Dim2,5.87
546,Dim2,5.38
547,Dim2,5.74
547,Dim3,3.55
548,Dim1,5.88
548,Dim2,5.82
548,Dim3,3.62
549,Dim2,6.01
549,Dim3,3.63
550,Dim3,3.56
551,Dim1,5.84
551,Dim2,5.89
551,Dim3,3.62
552,Dim2,6.43
553,Dim1,5.23
553,Dim2,5.29
553,Dim3,3.19
554,Dim1,5.16
554,Dim2,5.19
555,Dim1,5.94
555,Dim2,5.99
555,Dim3,3.7
556,Dim2,6.13
556,Dim3,3.74
557,Dim1,5.89
557,Dim2,5.98
558,Dim3,3.57
559,Dim1,5.82
559,Dim2,5.87
559,Dim3,3.59
560,Dim1,5.73
560,Dim2,5.76
560,Dim3,3.57
562,Dim1,5.71
562,Dim2,5.75
562,Dim3,3.58
563,Dim1,6.15
564,Dim1,5.75
564,Dim2,5.65
564,Dim3,3.54
