Price,X2,X3,X4,X5,X6,ID,Currency
2772,E_X,NA,61.7,56,0.58,29557,GBP
387119.6406,C_A,VS2,59.2,61,0.71,30026,JPY
4574.981363,E_R,SI2,61.3,56,0.75,34769,AUD
2774,D_P,I1,60.2,61,1.17,13540,GBP
4576.631194,E_A,VS1,61.7,55,0.6,14743,AUD
387538.60125,D_X,NA,61.3,61,0.74,41187,JPY
3260.434208,B_A,VS2,62.7,58,NA,43424,EUR
2776,E_A,VS2,62.2,57,0.71,29553,GBP
387678.2548,E_A,VVS2,61.6,56,NA,51789,JPY
4579.930856,E_Y,SI1,60.7,56,0.72,49212,AUD
4579.930856,C_Y,VS2,59.7,60.5,0.72,5998,AUD
4579.930856,E_Y,SI1,60.5,56,0.71,28246,AUD
2777,D_R,VS1,62.7,58,0.7,18025,GBP
3261.608716,B_X,VS2,62.1,58,0.71,6820,EUR
4581.580687,C_X,NA,63.8,58,0.71,24584,AUD
3483.2891281,C_X,VS2,57.8,60,0.71,34834,USD
3261.608716,E_A,VS2,62.1,55,0.7,40869,EUR
3483.2891281,B_A,VS2,61.1,60,0.7,46075,USD
387817.90835,B_A,NA,60,59,NA,441,JPY
2777,B_A,SI1,61.2,57,NA,17244,GBP
3261.608716,B_A,SI1,61,57,0.7,18791,EUR
3483.2891281,B_A,SI1,61,58,NA,51363,USD
387817.90835,D_A,SI1,59.9,63,NA,17814,JPY
387817.90835,B_A,NA,61.3,58,0.7,21686,JPY
3261.608716,B_A,NA,60.5,58,0.7,22439,EUR
387817.90835,C_A,VS2,64.1,59,0.7,936,JPY
2777,A_C,SI2,67.9,60,0.98,24764,GBP
387817.90835,B_X,SI1,62.4,58,0.78,49505,JPY
2777,D_A,SI1,63.2,60,0.7,395,GBP
2778,E_X,VVS1,61.3,55,0.52,4250,GBP
3263.957732,D_C,VS2,60.8,56,0.73,33636,EUR
2779,E_A,SI1,61.7,56,NA,51259,GBP
3487.052134,D_X,NA,63.6,57,0.7,11506,USD
4586.53018,B_Y,VS2,61.2,58,0.77,826,AUD
2780,E_X,VS2,62.1,54,0.71,33158,GBP
4586.53018,E_Y,VS1,61.5,55,0.74,23221,AUD
3265.13224,E_Y,NA,61.4,59,0.7,38196,EUR
2781,E_C,SI1,62.2,56,0.77,48236,GBP
388376.52255,E_C,NA,61.2,56,NA,13748,JPY
3267.481256,D_C,VS1,60.6,63,0.72,40931,EUR
388516.1761,D_R,VVS2,57.5,64,0.53,24479,JPY
3267.481256,E_Y,VS2,61.3,56,0.76,7624,EUR
4589.829842,C_A,VS1,57.2,62,NA,4482,AUD
2782,D_R,SI2,63.1,58,0.75,26102,GBP
4589.829842,E_R,SI1,60.8,57,NA,18889,AUD
3267.481256,B_R,SI1,62.7,59,0.72,52830,EUR
388516.1761,B_R,SI1,62.8,60,NA,29804,JPY
3489.5608046,A_Y,SI1,55.1,67,0.84,32436,USD
3489.5608046,B_X,NA,61.4,59,NA,29035,USD
4591.479673,E_X,IF,62.2,55,0.52,48250,AUD
2784,D_X,VS2,63,54,0.72,16804,GBP
388795.4832,D_C,VS1,63.7,56,NA,17147,JPY
3495.8324811,D_X,VS2,63.6,58,0.72,28152,USD
3273.353796,E_X,VVS1,62,57,0.51,48352,EUR
3495.8324811,E_R,VS1,61.5,56,0.64,11868,USD
389354.0974,D_C,VVS1,60.5,60,NA,31705,JPY
389354.0974,E_T,VVS2,61.8,56,0.76,3609,JPY
4599.728828,C_R,VS2,63.3,56,0.71,47387,AUD
389354.0974,A_A,I1,64.5,58,NA,46281,JPY
2789,C_X,SI1,64.2,52,0.77,6103,GBP
2789,C_A,SI1,63.7,54,0.76,6077,GBP
3275.702812,B_A,SI1,60.4,58,0.76,24408,EUR
3498.3411517,D_P,SI2,63.2,56,1.05,32085,USD
3275.702812,E_A,SI1,61.6,56,0.7,13001,EUR
3498.3411517,E_Y,IF,60.9,57,0.55,28147,USD
2789,C_Y,NA,61,61,0.81,27986,GBP
3498.3411517,B_A,VVS2,62.1,57,NA,14292,USD
389493.75095,B_A,VVS1,60.9,60,NA,2815,JPY
389493.75095,B_C,NA,61.3,60,0.77,7120,JPY
389493.75095,A_P,SI2,65.8,59,NA,31879,JPY
3499.595487,E_Y,IF,61.3,56,0.64,16320,USD
3499.595487,B_T,VVS1,58.8,59,0.76,18137,USD
3276.87732,E_X,NA,62.3,55,0.83,11637,EUR
389633.4045,B_X,VS1,60.1,62,NA,40286,JPY
3499.595487,B_X,NA,61.8,59,NA,37082,USD
4604.678321,D_T,SI1,63.6,55.8,NA,12277,AUD
2791,E_A,NA,62.2,56,0.73,48166,GBP
3279.226336,B_A,NA,59.2,59,NA,10049,EUR
3502.1041576,E_A,SI1,61.3,55,NA,25624,USD
2792,B_X,VS1,60.7,60,0.7,21749,GBP
3502.1041576,B_C,VVS2,59.6,57,0.76,42781,USD
4607.977983,D_A,VS2,62.9,57,0.7,28435,AUD
4607.977983,C_A,VS2,64.1,55,0.7,37131,AUD
4611.277645,D_A,VS2,60.7,56,0.71,3912,AUD
2795,C_X,VS1,60.7,60,0.72,3042,GBP
390331.67225,B_R,SI2,62,60,0.72,10102,JPY
390331.67225,B_T,IF,63,57,0.72,40707,JPY
4611.277645,B_Y,NA,62.9,57,0.72,35146,AUD
2795,B_T,SI2,58.2,60,1,37585,GBP
4612.927476,C_A,SI1,63.2,58,0.73,11824,AUD
2797,D_C,SI2,61.3,59,NA,19380,GBP
2797,D_A,SI1,60.3,60,0.81,41671,GBP
3285.098876,B_R,SI1,62.7,60,0.71,8984,EUR
390610.97935,B_R,SI1,61.3,58,0.71,27744,JPY
4614.577307,B_R,SI1,61.6,60,0.71,33743,AUD
3508.3758341,E_X,VVS2,61.9,55,0.57,41312,USD
390610.97935,E_R,VVS1,61.7,56,0.51,52792,JPY
3285.098876,E_Y,VS2,61.9,58,0.72,25543,EUR
3285.098876,E_C,VS1,61.8,58,0.74,29422,EUR
3508.3758341,A_Y,VVS1,58.8,66,0.7,52594,USD
390610.97935,B_X,SI2,61,57,NA,43918,JPY
3285.098876,A_A,SI2,67.4,60,1.01,42280,EUR
390610.97935,D_C,VS2,63.4,60,0.8,33178,JPY
2799,D_A,SI2,58,62,0.83,26395,GBP
3512.13884,C_T,SI2,62.2,59,0.9,36900,USD
3512.13884,D_T,SI2,61.3,56,0.9,49419,USD
391029.94,E_Y,NA,61.8,57,NA,12758,JPY
3512.13884,B_Y,NA,62.9,60,0.74,7252,USD
391029.94,E_Y,IF,62.3,56,0.61,19786,JPY
4619.5268,A_Y,VS1,59,70,0.76,24500,AUD
391169.59355,E_X,VS2,62.5,55,NA,40784,JPY
391169.59355,E_C,NA,60.4,57,0.75,9410,JPY
2801,B_X,NA,62.1,58,0.71,16307,GBP
3289.796908,C_X,VS2,57.8,60,NA,725,EUR
2802,D_Y,SI2,59.9,58,0.87,2500,GBP
391309.2471,E_X,NA,61.9,54,0.53,11774,JPY
391309.2471,B_X,VS1,62.4,58,0.72,11525,JPY
3292.145924,D_X,VS2,62.9,58,NA,50698,EUR
3515.9018459,D_A,SI1,63.5,56,NA,5614,USD
3292.145924,B_X,NA,62.6,58,0.71,52272,EUR
4624.476293,B_Y,VS1,62.4,61,0.71,5362,AUD
2803,B_Y,VS2,61.3,57,NA,49048,GBP
3515.9018459,B_Y,VS2,59.9,60,NA,44021,USD
3292.145924,D_Y,VS1,63.5,55,0.71,9440,EUR
4624.476293,E_R,SI2,62.2,57,0.91,37109,AUD
3517.1561812,D_A,VS2,63.8,58,0.71,35430,USD
4626.126124,D_A,VS2,64,57,0.71,976,AUD
2804,D_A,SI2,62.5,56,0.8,21250,GBP
391588.5542,E_X,NA,61.7,57,0.72,39793,JPY
391588.5542,E_R,SI1,61,59,0.7,35772,JPY
4626.126124,E_R,SI1,62.2,56,0.72,34553,AUD
391588.5542,E_R,SI1,61.5,54,0.72,28673,JPY
3517.1561812,A_T,SI1,67.3,59,0.9,10042,USD
3294.49494,B_X,VS2,61.7,58,0.74,5446,EUR
3518.4105165,B_X,VS2,61.9,56,0.74,49224,USD
2805,E_A,SI2,61.8,58,0.73,33462,GBP
4627.775955,A_A,VVS1,58.7,66,0.57,29371,AUD
4627.775955,B_X,NA,62.5,57,NA,39133,AUD
391728.20775,E_Y,VS2,62.8,56,0.72,49274,JPY
3294.49494,A_X,VS2,61.1,68,0.74,39848,EUR
391728.20775,C_Y,VS2,64,57,0.82,47841,JPY
4629.425786,D_Y,SI1,62.5,60,0.81,33893,AUD
4629.425786,D_C,VVS1,60.6,58,NA,41060,AUD
3519.6648518,E_X,SI1,61.6,55,0.7,21070,USD
392007.51485,D_X,VS1,62.2,58,0.71,46255,JPY
3296.843956,D_X,VS1,60,57,0.71,22775,EUR
3520.9191871,B_P,SI2,61.9,57,0.93,32137,USD
2808,D_X,VS1,62,57,0.7,17108,GBP
3522.1735224,D_Y,VS2,63.4,56,NA,19591,USD
2808,E_A,VVS2,60.9,56,0.58,35352,GBP
2808,D_R,SI1,63.1,57,0.73,45007,GBP
2809,B_R,SI2,59.2,57,0.81,41161,GBP
2810,D_X,VS1,61.8,56,NA,2811,GBP
3300.36748,E_R,SI2,61.7,55,0.74,39267,EUR
392426.4755,C_X,VS1,62.8,61,0.7,32454,JPY
3524.682193,C_Y,SI1,62.7,57,0.8,49086,USD
3525.9365283,D_R,SI1,63.5,54,0.83,38566,USD
2811,A_P,VS2,65.7,59,NA,28326,GBP
4637.674941,A_T,SI2,68.1,56,0.99,20818,AUD
3527.1908636,D_Y,NA,63,60,0.7,42753,USD
3302.716496,D_X,VS2,59.5,58,0.7,44579,EUR
392705.7826,D_X,NA,61.7,58,NA,45305,JPY
650.677432,E_T,SI1,62.4,57,0.32,48051,EUR
694.9017562,D_T,SI1,63.1,56,0.32,20327,USD
914.006374,E_T,NA,60.7,57,NA,44327,AUD
554,B_C,SI1,60.9,59,0.3,49902,GBP
914.006374,B_C,NA,62.9,58,0.3,5989,AUD
694.9017562,C_C,SI1,63.8,55,0.3,8646,USD
694.9017562,E_C,SI1,62.9,57,NA,33512,USD
914.006374,D_C,SI1,63.4,60,0.3,29918,AUD
694.9017562,C_T,SI1,63.9,55,NA,44393,USD
77368.0667,E_C,SI2,61.4,56,0.33,24675,JPY
555,D_A,VS1,61.9,55,0.29,7110,GBP
651.85194,D_A,NA,62.4,55,0.29,4050,EUR
555,D_X,SI1,61.8,58,0.31,28259,GBP
77507.72025,E_C,VS2,60.4,57,NA,13043,JPY
915.656205,E_T,VS1,61.8,55,NA,41408,AUD
555,E_X,VS1,61.6,56,NA,23119,GBP
555,D_A,I1,58.4,62,0.43,351,GBP
697.4104268,E_Y,VS2,62,56,0.3,18845,USD
4639.324772,D_X,VS2,62.3,58,0.7,26674,AUD
3302.716496,D_X,NA,60.9,61,NA,47514,EUR
4639.324772,E_R,SI1,62.4,57,0.71,45322,AUD
3303.891004,B_Y,SI2,59.8,58,0.91,37765,EUR
3303.891004,D_A,SI1,63.4,55,0.84,19992,EUR
4640.974603,C_T,VS2,64.3,58,NA,39640,AUD
2815,D_R,VVS1,61.5,56,0.55,27820,GBP
3306.24002,D_X,SI2,58.5,62,0.76,5212,EUR
4644.274265,B_Y,VS1,61.7,58,0.74,37946,AUD
393124.74325,E_C,SI1,61.4,56,0.7,1289,JPY
2815,E_C,NA,61.5,55,0.7,46268,GBP
3306.24002,E_C,SI1,61.4,56,0.7,34117,EUR
3306.24002,A_P,VS2,65,56,0.9,3017,EUR
3306.24002,A_X,NA,56,60,0.95,43731,EUR
3530.9538695,B_C,NA,60.2,59,0.89,2253,USD
3530.9538695,B_Y,I1,60.3,58,1.02,32253,USD
3307.414528,D_T,VVS2,61.4,56,0.78,7682,EUR
2816,E_Y,VVS2,60.1,57,NA,39579,GBP
4645.924096,C_R,VS1,63.4,55,NA,37297,AUD
3532.2082048,B_X,SI1,61.5,59,NA,23565,USD
3307.414528,E_C,SI2,62.7,56,NA,46183,EUR
4647.573927,B_A,SI1,61.3,56,0.71,23545,AUD
3533.4625401,E_T,VVS2,60.2,56,0.71,42087,USD
393404.05035,E_A,NA,62.7,57,0.71,34639,JPY
3308.589036,B_A,NA,62.3,58,0.71,45018,EUR
4647.573927,E_X,VVS2,61.5,56,0.63,11193,AUD
2817,B_A,SI1,59.2,59,0.71,21911,GBP
393404.05035,B_A,SI1,61.8,59,0.71,42618,JPY
3308.589036,E_A,SI1,61.3,55,0.71,14263,EUR
3533.4625401,B_A,SI1,61.4,58,0.71,23837,USD
3308.589036,C_A,SI1,62.8,64,0.71,32524,EUR
3534.7168754,B_A,VS2,62.4,61,0.7,45497,USD
3534.7168754,B_C,I1,61.3,60,1,27759,USD
3534.7168754,E_C,SI1,61,57,NA,23850,USD
3534.7168754,B_A,VS1,59.6,57,NA,25935,USD
3534.7168754,B_A,VS1,62.7,57,NA,38699,USD
393543.7039,A_C,SI2,65.3,62,1,9575,JPY
2819,D_Y,NA,63.8,58,0.72,33317,GBP
3535.9712107,E_C,VS1,62.3,56,0.72,24609,USD
4650.873589,C_X,VS1,59.7,63,NA,39331,AUD
393683.35745,C_X,SI2,64.3,60,0.86,44609,JPY
3538.4798813,E_A,NA,62,57,0.75,28629,USD
3313.287068,B_A,SI1,61.3,58,NA,13924,EUR
3538.4798813,C_A,SI1,63.6,57,0.73,43578,USD
2821,B_A,SI1,59.6,61,0.73,25601,GBP
3538.4798813,B_A,SI1,62.2,59,NA,9700,USD
3313.287068,B_R,SI1,61.7,55,NA,44575,EUR
3313.287068,D_A,SI1,63.2,58,NA,12670,EUR
394102.3181,B_A,VS1,60.8,60,0.7,29931,JPY
3314.461576,B_A,VS2,60.3,59,NA,51882,EUR
3539.7342166,B_A,VS2,62.4,59,0.72,10455,USD
2822,B_A,VS2,60.2,60,NA,16290,GBP
4655.823082,E_X,VVS2,62,55,NA,13058,AUD
394102.3181,E_T,VVS1,60.8,57,0.74,6919,JPY
2822,B_R,SI1,61.3,58,NA,3760,GBP
3314.461576,B_R,SI1,60.2,60,0.7,40246,EUR
3539.7342166,E_R,SI1,60.7,56,0.7,40238,USD
394102.3181,C_P,VS2,64,61,0.9,7621,JPY
2822,E_R,SI1,60.2,56,0.71,31252,GBP
394102.3181,B_A,NA,61.5,59,NA,1858,JPY
394102.3181,B_A,VS2,62.6,56,NA,40312,JPY
394102.3181,C_A,NA,61.4,64,0.7,49096,JPY
4655.823082,E_R,SI1,62.5,57,NA,27213,AUD
394102.3181,E_R,NA,61.8,56,0.7,24094,JPY
394102.3181,B_A,NA,60.7,62,0.7,53117,JPY
2822,B_X,NA,60.6,58,NA,42742,GBP
3315.636084,C_T,SI1,63.8,57,0.9,40212,EUR
4657.472913,B_A,VS2,62.3,58,0.71,13660,AUD
4657.472913,E_A,NA,61.3,54,0.61,917,AUD
394241.97165,E_A,SI1,60.5,56,NA,5129,JPY
4659.122744,E_T,VVS2,62.1,57,0.77,21777,AUD
3542.2428872,C_A,VS1,63.1,58,0.74,5610,USD
2824,E_X,NA,62.4,54,0.82,19090,GBP
4659.122744,B_A,SI2,60.8,60,0.82,45663,AUD
4660.772575,B_C,SI1,60,59,NA,13473,AUD
394521.27875,B_C,SI1,62.5,59,NA,16473,JPY
3543.4972225,B_P,I1,60.2,61,1.17,21408,USD
3319.159608,C_A,NA,57.2,59,NA,36452,EUR
394660.9323,B_A,VS1,62.2,58,0.7,16322,JPY
3544.7515578,D_R,NA,63.3,56,0.7,8389,USD
3319.159608,D_T,NA,63.5,56,0.9,26768,EUR
4662.422406,E_X,I1,60.7,55,0.96,37915,AUD
3320.334116,D_R,SI1,62.3,59,0.7,35513,EUR
3320.334116,C_R,VS2,64,54,0.72,48,EUR
2827,B_C,NA,62.6,58,0.79,38085,GBP
4664.072237,E_C,VVS1,61.6,57,0.7,51362,AUD
4664.072237,E_C,VVS1,62.3,55,0.7,52531,AUD
3321.508624,E_R,SI2,60.6,57,0.7,46283,EUR
2828,B_C,SI2,61.6,61,1.01,35827,GBP
4667.371899,C_A,SI2,63.7,54,0.8,52189,AUD
3322.683132,E_A,VVS1,62,56,NA,44611,EUR
3548.5145637,E_X,VS1,61.7,57,0.72,48229,USD
3322.683132,B_A,NA,61.9,57,0.75,53556,EUR
3548.5145637,B_A,SI2,60.2,57,NA,817,USD
3549.768899,D_A,NA,62.7,59,NA,47823,USD
395219.5465,E_X,VVS1,60.9,57,0.53,26894,JPY
3549.768899,E_X,NA,61.8,57,0.53,47258,USD
4669.02173,E_T,NA,62.1,54.4,NA,4808,AUD
395219.5465,B_Y,SI1,60.6,62,0.9,52421,JPY
3325.032148,D_A,NA,60.8,60,0.76,34946,EUR
4670.671561,E_A,SI1,62.3,57,0.72,17880,AUD
2831,E_A,SI1,61.4,57,0.75,51941,GBP
2831,B_A,NA,62.1,58,NA,22229,GBP
2831,E_Y,NA,61.8,56,0.79,10018,GBP
2832,D_T,SI2,62.8,61,0.91,19758,GBP
2832,B_Y,SI1,63,60,0.81,5847,GBP
3552.2775696,E_C,SI1,62.5,57,0.82,30915,USD
2832,C_P,NA,64.3,63,0.9,24424,GBP
2833,D_T,VS2,62,58,NA,14437,GBP
4673.971223,D_R,VS2,59.6,61,0.7,10082,AUD
2833,E_R,VS2,61,57,0.7,1767,GBP
3553.5319049,E_X,VVS2,61.7,55,0.61,51754,USD
2833,E_C,SI2,62.5,57,0.85,1107,GBP
2833,E_X,SI1,60.7,57,0.7,17625,GBP
2834,E_C,VS2,62.8,57,0.8,32859,GBP
395778.1607,D_R,NA,59.9,58,0.51,18666,JPY
3554.7862402,E_X,NA,61.4,57,NA,39594,USD
3554.7862402,D_P,SI1,63.4,54,0.9,22376,USD
3554.7862402,A_Y,NA,65.3,59,0.9,38268,USD
395778.1607,E_A,SI2,60.7,55,0.77,11866,JPY
4677.270885,E_X,NA,61.2,56,0.73,44441,AUD
2835,E_X,VVS2,61.9,57,0.63,18734,GBP
395917.81425,E_A,VS2,61.5,54,NA,37900,JPY
2835,E_A,VS2,62.8,57,0.72,47111,GBP
395917.81425,E_A,SI1,61,57,NA,51523,JPY
4677.270885,B_X,NA,59.6,59,NA,21818,AUD
3557.2949108,C_A,NA,62.8,60,0.71,22628,USD
4680.570547,B_A,VS1,62.6,59,0.7,48063,AUD
3332.079196,E_A,VS1,61.8,56,0.7,46361,EUR
3333.253704,E_X,SI1,59.8,53,0.71,22479,EUR
2838,D_C,SI1,60.9,55,NA,11671,GBP
2838,B_X,VS1,58.8,60,NA,42335,GBP
2838,B_X,NA,62.3,58,0.7,24144,GBP
4682.220378,B_X,NA,61.7,58,NA,47018,AUD
3333.253704,B_Y,VS1,62.6,55,NA,43205,EUR
4682.220378,B_X,VS2,59.4,61,0.7,27359,AUD
396336.7749,D_A,SI1,63.5,59,0.7,17034,JPY
3559.8035814,B_X,VS2,60.9,61,NA,6253,USD
3333.253704,B_X,VS2,59.5,58,0.7,5645,EUR
396336.7749,B_Y,VS1,63,60,0.7,25741,JPY
2839,D_A,SI1,60,57,0.74,37042,GBP
4683.870209,E_X,VS1,61.5,57,0.71,9047,AUD
3561.0579167,E_X,VS1,62.1,55,0.71,48431,USD
2839,B_X,VS1,59.1,61,0.71,47246,GBP
2839,B_X,VS1,60.5,58,0.71,51635,GBP
4683.870209,E_Y,VS2,61.8,54,0.73,21900,AUD
3561.0579167,E_A,VS2,62.1,54,0.7,302,USD
4683.870209,E_Y,VS1,61.3,57,0.7,7545,AUD
3561.0579167,B_Y,VS2,59.3,62,0.79,16933,USD
3561.0579167,B_X,VS1,62.7,59,0.71,18329,USD
4685.52004,D_C,VS1,61,60,0.77,6450,AUD
2840,D_X,NA,59.8,56,NA,37209,GBP
396616.082,E_X,SI1,61,56,NA,11762,JPY
2840,B_X,NA,59.3,56,0.71,18705,GBP
4685.52004,B_X,NA,61.4,59,0.83,18775,AUD
2841,B_X,VS2,60.3,59,0.73,38787,GBP
3563.5665873,D_R,VS1,63.4,55,0.71,45192,USD
3563.5665873,D_R,SI1,63.9,57,0.73,12392,USD
2841,D_X,SI2,59.7,57,0.82,19528,GBP
3563.5665873,E_X,VVS1,61.2,56,NA,40913,USD
3336.777228,A_Y,NA,66.7,56,0.95,39047,EUR
4687.169871,E_R,NA,61.4,57,0.73,19422,AUD
3563.5665873,B_X,VS2,59.9,59,0.73,46758,USD
3563.5665873,B_Y,VS1,61.4,58,0.73,25943,USD
2842,B_X,VS2,58.7,61,0.7,1089,GBP
3566.0752579,D_A,VS2,62.7,58,0.7,17337,USD
3566.0752579,D_A,NA,59.4,58,NA,12683,USD
3339.126244,D_X,SI2,63.2,58,0.81,847,EUR
4690.469533,D_R,SI1,61.5,58,0.71,51794,AUD
2843,E_Y,NA,61.3,57,0.73,30035,GBP
3566.0752579,D_X,NA,61.8,59,NA,31497,USD
3566.0752579,E_A,VS2,62,57,0.72,19193,USD
3566.0752579,E_X,NA,62.1,57,0.81,39791,USD
2844,D_A,NA,57.7,61,0.73,3946,GBP
397174.6962,D_A,NA,62,59,0.7,15527,JPY
4692.119364,C_T,I1,63.1,57,NA,16669,AUD
397174.6962,E_C,VS2,62.5,57,NA,51778,JPY
3341.47526,D_A,VS2,61.8,59,0.7,47562,EUR
